Id,Title,Year,Genres,Runtime,Plot,Original Language,Director,Writer,Main Cast,Rating (RT),Nuni Aprooval,Fun Fact,Seen,PosterFileName
1083,Forest Gump,,,,,,,,,,,,,
1084,The Life Aquatic,,,,,,,,,,,,,
1085,Into the Wild,,,,,,,,,,,,,
1086,The King's Speech,,,,,,,,,,,,,
1087,Dallas Buyers Club,,,,,,,,,,,,,dallas buyers club ver.jpg
1088,Trainspotting,,,,,,,,,,,,,
1089,Lolita ,,,,,,,,,,,,,
1090,Detachment,,,,,,,,,,,,,
1091,Southpaw,,,,,,,,,,,,,
1092,Lost in Translation,,,,,,,,,,,,,
1093,Carol,,,,,,,,,,,,,
1094,12 Years Slave,,,,,,,,,,,,,
1095,There will be blood,,,,,,,,,,,,,
1096,Unbroken,,,,,,,,,,,,,
1097,Perfect Sense,,,,,,,,,,,,,
1098,Amelie,,,,,,,,,,,,,
1099,Wolf of Walstreet,,,,,,,,,,,,,
1100,Full Metal Jacket,,,,,,,,,,,,,
1101,Hell or High Water,,,,,,,,,,,,,
1102,Oldboy,,,,,,,,,,,,,
1103,Reservoir Dogs,,,,,,,,,,,,,
1104,Leon,,,,,,,,,,,,,
1105,The Godfather,,,,,,,,,,,,,
1106,The good the bad and the ugly,,,,,,,,,,,,,
1107,The Shawshank Redemption,,,,,,,,,,,,,
1108,Grave of the Fireflies,,,,,,,,,,,,,
1109,The Zero Theorem,,,,,,,,,,,,,
1110,Burned adter reading,,,,,,,,,,,,,
1111,The Big Lebowski,,,,,,,,,,,,,
1112,High Fidelity,,,,,,,,,,,,,
1113,Little Miss Sunshine,,,,,,,,,,,,,
1114,Your Name,,,,,,,,,,,,,your name ver.jpg/your name hor.png
1115,Harry Potter x8,,,,,,,,,,,,,
1116,Star Wars (IV-VI),,,,,,,,,,,,,
1117,Solo,,,,,,,,,,,,,
1118,Star Wars (I-III),,,,,,,,,,,,,
1119,Star Wars (VII-),,,,,,,,,,,,,
1120,Star Wars Rogue One,,,,,,,,,,,,,
1121,The Survivalist,,,,,,,,,,,,,
1122,It Comes at Night,,,,,,,,,,,,,
1123,Sicario,,,,,,,,,,,,,
1124,Baby Driver,,,,,,,,,,,,,
1125,The Place Beyond the Pines,,,,,,,,,,,,,
1126,Veronica,,,,,,,,,,,,,
1127,Insidius x4,,,,,,,,,,,,,
1128,I don�t feel at home in this world anymore,,,,,,,,,,,,,
1129,Midnight in Paris,,,,,,,,,,,,,midnight in paris ver.png
1130,Field of Dreams,,,,,,,,,,,,,
1131,Bright,,,,,,,,,,,,,
1132,Annihilation,,,,,,,,,,,,,
1133,The Rutual,,,,,,,,,,,,,
1134,1922,,,,,,,,,,,,,
1135,Okja,,,,,,,,,,,,,
1136,Clinical,,,,,,,,,,,,,
1137,Train to Busan,,,,,,,,,,,,,
1138,It,,,,,,,,,,,,,
1139,The Devil's Candy,2017,,,,,,,,,,,,
1140,Berlin Syndrome,2017,,,,,,,,,,,,
1141,The Blackcoat's Daugther,2017,,,,,,,,,,,,
1142,A Dark Song,2017,,,,,,,,,,,,
1143,Dig Two Graves,2017,,,,,,,,,,,,
1144,The Void,2017,,,,,,,,,,,,
1145,The house at the end of the street,2017,,,,,,,,,,,,
1146,Holidays,2017,,,,,,,,,,,,
1147,XX,2017,,,,,,,,,,,,
1148,Holidays,,,,,,,,,,,,,
1149,The Lazarous Effect,,,,,,,,,,,,,
1150,Creep,,,,,,,,,,,,,
1151,Gerald's Game,,,,,,,,,,,,,
1152,The Conjuring (I and II),,,,,,,,,,,,,
1153,Sinister,,,,,,,,,,,,,
1154,Hush,,,,,,,,,,,,,
1155,Backcountry,,,,,,,,,,,,,
1156,Blue Caprise,,,,,,,,,,,,,
1157,Cold In July,,,,,,,,,,,,,
1158,The Double,,,,,,,,,,,,,
1159,The Invitation,,,,,,,,,,,,,
1160,Coherence,,,,,,,,,,,,,
1161,Funny Games,,,,,,,,,,,,,
1162,Logan Lucky,,,,,,,,,,,,,
1163,Super Dark Times,,,,,,,,,,,,,
1164,Three Billboards Outside Ebbing Missouri,,,,,,,,,,,,,
1165,Thelma,,,,,,,,,,,,,
1166,It Follows,,,,,,,,,,,,,
1167,Soylent Green,,,,,,,,,,,,,
1168,Europa Report,,,,,,,,,,,,,
1169,Metropolis,,,,,,,,,,,,,
1170,Metropolis (Anime),,,,,,,,,,,,,
1171,10 Cloverfield Lane,,,,,,,,,,,,,
1172,I am Leyend,,,,,,,,,,,,,
1173,Sunshine,,,,,,,,,,,,,
1174,Mullholand Drive,,,,,,,,,,,,,
1175,The Room (la mala),,,,,,,,,,,,,
1176,Room,,,,,,,,,,,,,
1177,The Thing,,,,,,,,,,,,,
1178,Alien,,,,,,,,,,,,,
1179,Taxi Driver,,,,,,,,,,,,,
1180,Psyco,,,,,,,,,,,,,
1181,Rosemary's Baby,,,,,,,,,,,,,
1182,Drive,,,,,,,,,,,,,
1183,Insomnia,1997,,,,,,,,,,,,
1184,Insomnia,2002,,,,,,,,,,,,
1185,American Psyco,,,,,,,,,,,,,american psyco ver.jpg
1186,The Game,1997,,,,,,,,,,,,
1187,Music and Lyrics,,,,,,,,,,,,,
1188,Ruby Sparks,,,,,,,,,,,,,
1189,Journey to the Center of the Earth (x2),,,,,,,,,,,,,
1190,Jumanji (la nueva),,,,,,,,,,,,,
1191,The Forger,,,,,,,,,,,,,
1192,Bridge to Terabithia,,,,,,,,,,,,,
1193,Ocean's Trilogy,,,,,,,,,,,,,
1194,The Gladiator,,,,,,,,,,,,,
1195,Matrix Trilogy,,,,,,,,,,,,,
1196,Its a wonderful life,,,,,,,,,,,,,
1197,The Sixth Sense,,,,,,,,,,,,,
1198,The fifth element,,,,,,,,,,,,,
1199,Looper,,,,,,,,,,,,,
1200,Unbreakable,,,,,,,,,,,,,
1201,Prometheus,,,,,,,,,,,,,
1202,Life,,,,,,,,,,,,,
1203,Alien Covenant ?,,,,,,,,,,,,,
1204,Clockwork Orange,,,,,,,,,,,,,
1205,Jackie Brown,,,,,,,,,,,,,
1206,Gravity,,,,,,,,,,,,,
1207,Green Mile,,,,,,,,,,,,,
1208,Edward Scissor Hands,,,,,,,,,,,,,
1209,Coco,,,,,,,,,,,,,
